Date,IPG
1970-01-01,43.0869
1970-02-01,42.5578
1970-03-01,41.6215
1970-04-01,40.1982
1970-05-01,39.9321
1970-06-01,41.1847
1970-07-01,43.223
1970-08-01,44.8139
1970-09-01,43.6007
1970-10-01,40.5467
1970-11-01,40.9385
1970-12-01,42.1117
1971-01-01,44.9517
1971-02-01,44.3696
1971-03-01,42.7548
1971-04-01,41.4234
1971-05-01,40.8295
1971-06-01,43.5488
1971-07-01,45.1876
1971-08-01,46.1091
1971-09-01,45.505
1971-10-01,43.9496
1971-11-01,44.003
1971-12-01,45.6054
1972-01-01,48.8393
1972-02-01,50.0191
1972-03-01,47.8421
1972-04-01,44.5127
1972-05-01,42.1062
1972-06-01,43.8217
1972-07-01,45.3964
1972-08-01,47.9892
1972-09-01,46.8293
1972-10-01,44.6882
1972-11-01,47.1979
1972-12-01,52.176
1973-01-01,55.9342
1973-02-01,53.9974
1973-03-01,50.5102
1973-04-01,46.8192
1973-05-01,44.9289
1973-06-01,47.4589
1973-07-01,49.3168
1973-08-01,51.091
1973-09-01,50.0826
1973-10-01,47.0794
1973-11-01,47.8829
1973-12-01,49.7968
1974-01-01,53.8212
1974-02-01,51.6563
1974-03-01,49.7985
1974-04-01,46.8319
1974-05-01,45.4161
1974-06-01,47.1087
1974-07-01,50.7056
1974-08-01,51.7371
1974-09-01,48.6742
1974-10-01,47.1172
1974-11-01,47.7516
1974-12-01,52.9379
1975-01-01,55.6989
1975-02-01,54.4115
1975-03-01,52.1395
1975-04-01,49.3369
1975-05-01,46.1066
1975-06-01,47.3769
1975-07-01,50.5251
1975-08-01,52.2585
1975-09-01,49.432
1975-10-01,46.7476
1975-11-01,47.7981
1975-12-01,54.4112
1976-01-01,60.6121
1976-02-01,56.9337
1976-03-01,52.9187
1976-04-01,48.7185
1976-05-01,46.6811
1976-06-01,49.2486
1976-07-01,52.022
1976-08-01,53.3791
1976-09-01,51.1013
1976-10-01,49.1373
1976-11-01,53.2579
1976-12-01,60.8207
1977-01-01,66.1065
1977-02-01,61.3553
1977-03-01,54.9875
1977-04-01,50.5114
1977-05-01,49.3162
1977-06-01,52.3147
1977-07-01,55.7601
1977-08-01,55.929
1977-09-01,53.2255
1977-10-01,50.7423
1977-11-01,51.8983
1977-12-01,59.5842
1978-01-01,65.4681
1978-02-01,64.4632
1978-03-01,58.7322
1978-04-01,51.4137
1978-05-01,49.9912
1978-06-01,53.1982
1978-07-01,55.5156
1978-08-01,57.5132
1978-09-01,55.0594
1978-10-01,52.1993
1978-11-01,54.0541
1978-12-01,60.7576
1979-01-01,68.7075
1979-02-01,68.1212
1979-03-01,61.374
1979-04-01,55.2722
1979-05-01,51.4048
1979-06-01,53.2473
1979-07-01,55.4418
1979-08-01,57.6476
1979-09-01,54.2322
1979-10-01,52.7558
1979-11-01,54.6456
1979-12-01,60.0874
1980-01-01,65.381
1980-02-01,64.7721
1980-03-01,60.8807
1980-04-01,53.1114
1980-05-01,49.7992
1980-06-01,52.4268
1980-07-01,58.5254
1980-08-01,60.4105
1980-09-01,57.738
1980-10-01,54.7637
1980-11-01,56.4616
1980-12-01,63.4413
1981-01-01,69.2715
1981-02-01,63.6341
1981-03-01,60.1027
1981-04-01,54.1446
1981-05-01,52.2484
1981-06-01,56.4915
1981-07-01,60.622
1981-08-01,60.6506
1981-09-01,56.3729
1981-10-01,54.6841
1981-11-01,55.7249
1981-12-01,63.4345
1982-01-01,70.6727
1982-02-01,64.2728
1982-03-01,59.7759
1982-04-01,54.109
1982-05-01,49.8577
1982-06-01,52.7065
1982-07-01,56.6437
1982-08-01,57.1923
1982-09-01,54.0
1982-10-01,51.7022
1982-11-01,54.0655
1982-12-01,58.7664
1983-01-01,65.9628
1983-02-01,59.162
1983-03-01,57.314
1983-04-01,52.9718
1983-05-01,49.1707
1983-06-01,51.7103
1983-07-01,57.9314
1983-08-01,61.588
1983-09-01,57.8078
1983-10-01,53.7753
1983-11-01,55.798
1983-12-01,65.6301
1984-01-01,73.2688
1984-02-01,66.2545
1984-03-01,63.2801
1984-04-01,57.4501
1984-05-01,55.1499
1984-06-01,57.9273
1984-07-01,60.6775
1984-08-01,62.3596
1984-09-01,58.0827
1984-10-01,54.7212
1984-11-01,57.1673
1984-12-01,63.3492
1985-01-01,72.6803
1985-02-01,70.8479
1985-03-01,62.6166
1985-04-01,57.6106
1985-05-01,55.4467
1985-06-01,58.2228
1985-07-01,62.7591
1985-08-01,63.3921
1985-09-01,60.7507
1985-10-01,56.4553
1985-11-01,58.1385
1985-12-01,68.8758
1986-01-01,73.4956
1986-02-01,68.1637
1986-03-01,62.3923
1986-04-01,57.1915
1986-05-01,55.9599
1986-06-01,60.0336
1986-07-01,65.9077
1986-08-01,64.645
1986-09-01,61.1742
1986-10-01,57.6978
1986-11-01,59.4964
1986-12-01,68.3302
1987-01-01,74.0173
1987-02-01,70.254
1987-03-01,65.7966
1987-04-01,60.3229
1987-05-01,59.0245
1987-06-01,64.0345
1987-07-01,69.0282
1987-08-01,70.2369
1987-09-01,64.2987
1987-10-01,60.5402
1987-11-01,62.6219
1987-12-01,70.7671
1988-01-01,80.0833
1988-02-01,76.3631
1988-03-01,70.4954
1988-04-01,63.4244
1988-05-01,61.5776
1988-06-01,67.2741
1988-07-01,73.1676
1988-08-01,75.9479
1988-09-01,67.7223
1988-10-01,63.4592
1988-11-01,65.2706
1988-12-01,74.0492
1989-01-01,78.1368
1989-02-01,76.8499
1989-03-01,73.5377
1989-04-01,65.2676
1989-05-01,63.8617
1989-06-01,68.6587
1989-07-01,74.2491
1989-08-01,75.2704
1989-09-01,69.5107
1989-10-01,66.062
1989-11-01,69.2555
1989-12-01,84.404
1990-01-01,84.6447
1990-02-01,77.4221
1990-03-01,73.4205
1990-04-01,67.4636
1990-05-01,66.0145
1990-06-01,71.6535
1990-07-01,76.8376
1990-08-01,77.3265
1990-09-01,73.277
1990-10-01,67.6237
1990-11-01,68.7675
1990-12-01,77.9179
1991-01-01,86.2914
1991-02-01,77.8027
1991-03-01,73.6061
1991-04-01,67.3549
1991-05-01,69.0228
1991-06-01,75.0839
1991-07-01,80.3488
1991-08-01,79.4052
1991-09-01,73.8126
1991-10-01,68.9572
1991-11-01,72.7156
1991-12-01,79.7391
1992-01-01,85.556
1992-02-01,80.4178
1992-03-01,74.739
1992-04-01,69.8367
1992-05-01,67.3781
1992-06-01,71.4197
1992-07-01,77.7263
1992-08-01,76.7791
1992-09-01,72.5681
1992-10-01,69.2363
1992-11-01,73.7175
1992-12-01,84.7818
1993-01-01,88.2287
1993-02-01,84.7919
1993-03-01,79.6885
1993-04-01,71.2731
1993-05-01,67.9111
1993-06-01,74.5503
1993-07-01,82.3366
1993-08-01,82.2906
1993-09-01,74.8323
1993-10-01,69.8758
1993-11-01,74.6278
1993-12-01,84.4669
1994-01-01,94.4017
1994-02-01,87.4053
1994-03-01,79.4751
1994-04-01,71.1817
1994-05-01,69.5934
1994-06-01,78.1988
1994-07-01,83.5287
1994-08-01,82.1321
1994-09-01,75.9181
1994-10-01,71.4802
1994-11-01,75.4754
1994-12-01,85.0772
1995-01-01,92.7412
1995-02-01,87.667
1995-03-01,81.5205
1995-04-01,74.0457
1995-05-01,73.5003
1995-06-01,78.5503
1995-07-01,86.2425
1995-08-01,89.8063
1995-09-01,78.7442
1995-10-01,73.9353
1995-11-01,79.8903
1995-12-01,91.0933
1996-01-01,99.2688
1996-02-01,93.1691
1996-03-01,87.2075
1996-04-01,77.4715
1996-05-01,76.9337
1996-06-01,82.1958
1996-07-01,86.2321
1996-08-01,86.824
1996-09-01,79.4425
1996-10-01,74.911
1996-11-01,81.3
1996-12-01,90.753
1997-01-01,98.7482
1997-02-01,90.0486
1997-03-01,83.2671
1997-04-01,76.3793
1997-05-01,74.0777
1997-06-01,80.0138
1997-07-01,88.7168
1997-08-01,88.0487
1997-09-01,82.1801
1997-10-01,77.7266
1997-11-01,82.2802
1997-12-01,92.3623
1998-01-01,95.0701
1998-02-01,88.0838
1998-03-01,86.8125
1998-04-01,76.9828
1998-05-01,78.2652
1998-06-01,86.7123
1998-07-01,94.1078
1998-08-01,93.7954
1998-09-01,87.7915
1998-10-01,80.3296
1998-11-01,81.6742
1998-12-01,91.9551
1999-01-01,102.4467
1999-02-01,91.4671
1999-03-01,91.0236
1999-04-01,80.7497
1999-05-01,79.6373
1999-06-01,88.1204
1999-07-01,97.7757
1999-08-01,96.7014
1999-09-01,87.4885
1999-10-01,80.8647
1999-11-01,82.4395
1999-12-01,94.7746
2000-01-01,102.4971
2000-02-01,94.5218
2000-03-01,88.3463
2000-04-01,81.6662
2000-05-01,84.7235
2000-06-01,91.3293
2000-07-01,96.3011
2000-08-01,99.6734
2000-09-01,90.9515
2000-10-01,83.378
2000-11-01,88.2458
2000-12-01,102.6901
2001-01-01,109.3416
2001-02-01,97.3953
2001-03-01,93.0564
2001-04-01,83.1332
2001-05-01,82.7827
2001-06-01,90.6648
2001-07-01,96.3283
2001-08-01,99.8132
2001-09-01,88.5136
2001-10-01,82.9006
2001-11-01,83.1461
2001-12-01,93.2796
2002-01-01,103.2604
2002-02-01,95.4593
2002-03-01,93.51
2002-04-01,86.0517
2002-05-01,85.5043
2002-06-01,93.4856
2002-07-01,102.6936
2002-08-01,101.9121
2002-09-01,93.5608
2002-10-01,87.1293
2002-11-01,88.8047
2002-12-01,101.0439
2003-01-01,110.4292
2003-02-01,104.0828
2003-03-01,94.8015
2003-04-01,85.3124
2003-05-01,85.7418
2003-06-01,91.3695
2003-07-01,102.5243
2003-08-01,104.7716
2003-09-01,93.1841
2003-10-01,86.7534
2003-11-01,88.828
2003-12-01,103.8162
2004-01-01,113.996
2004-02-01,106.4378
2004-03-01,95.6626
2004-04-01,86.9849
2004-05-01,89.324
2004-06-01,95.8104
2004-07-01,102.1007
2004-08-01,100.4992
2004-09-01,94.2998
2004-10-01,87.7732
2004-11-01,89.8297
2004-12-01,105.9787
2005-01-01,111.4496
2005-02-01,101.9498
2005-03-01,99.2324
2005-04-01,86.6793
2005-05-01,87.3784
2005-06-01,99.7382
2005-07-01,108.8005
2005-08-01,109.9901
2005-09-01,99.5563
2005-10-01,90.1695
2005-11-01,90.6297
2005-12-01,108.4977
2006-01-01,104.8128
2006-02-01,101.631
2006-03-01,98.6932
2006-04-01,87.7034
2006-05-01,90.2388
2006-06-01,100.7836
2006-07-01,111.3696
2006-08-01,111.9898
2006-09-01,96.1212
2006-10-01,90.6869
2006-11-01,92.5922
2006-12-01,103.3658
2007-01-01,112.3854
2007-02-01,112.1298
2007-03-01,99.469
2007-04-01,91.045
2007-05-01,92.3001
2007-06-01,101.2636
2007-07-01,107.9356
2007-08-01,114.5031
2007-09-01,101.8592
2007-10-01,93.282
2007-11-01,94.1475
2007-12-01,107.0407
2008-01-01,115.1666
2008-02-01,108.519
2008-03-01,100.7093
2008-04-01,91.2094
2008-05-01,91.4431
2008-06-01,104.1756
2008-07-01,111.08
2008-08-01,107.8943
2008-09-01,98.0097
2008-10-01,91.2397
2008-11-01,94.0321
2008-12-01,109.6583
2009-01-01,117.1041
2009-02-01,104.6585
2009-03-01,98.0044
2009-04-01,88.3217
2009-05-01,87.7293
2009-06-01,97.5535
2009-07-01,104.1673
2009-08-01,106.0048
2009-09-01,95.0942
2009-10-01,89.3811
2009-11-01,89.4576
2009-12-01,110.8777
2010-01-01,119.2473
2010-02-01,110.7525
2010-03-01,98.343
2010-04-01,86.2612
2010-05-01,90.8459
2010-06-01,104.4774
2010-07-01,113.1386
2010-08-01,113.255
2010-09-01,100.3372
2010-10-01,89.0653
2010-11-01,92.8343
2010-12-01,114.5367
2011-01-01,119.7475
2011-02-01,107.4965
2011-03-01,99.1848
2011-04-01,89.3568
2011-05-01,90.0903
2011-06-01,102.9273
2011-07-01,114.9326
2011-08-01,113.765
2011-09-01,99.5821
2011-10-01,90.3241
2011-11-01,93.7486
2011-12-01,107.3309
2012-01-01,111.8351
